temperature_2m,relativehumidity_2m,dewpoint_2m,precipitation,pressure_msl,surface_pressure,cloudcover,et0_fao_evapotranspiration,windspeed_10m,shortwave_radiation,time_local,year,month,day,temp(f),month_sin,month_cos,day_sin,day_cos,hour_sin,hour_cos,temp_avg
77.7,0.6814763090077968,0.28647315633566456,-0.5416194334514366,1.2895526096635979,1.2895526096635763,-0.2856068801862085,-0.7315701053097419,-0.2512352307476542,-0.7185165968195902,0.0,,9.0,21.0,87.4,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,0.0,1.0,-0.5789937157980174
77.8,0.6814763090077968,0.28647315633566456,-0.5416194334514366,0.7489541357435091,0.7489541357434966,0.24621282774673162,-0.7315701053097419,0.22636045542610483,-0.7185165968195902,1.0,,9.0,21.0,87.4,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,0.25881904510252074,0.9659258262890683,-0.540670910560423
77.4,0.8315261385141005,0.5411159619673603,-0.5416194334514366,0.6138045172634485,0.6138045172634382,0.18712174908751605,-0.7315701053097419,1.5397485924039418,-0.7185165968195902,2.0,,9.0,21.0,87.1,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,0.49999999999999994,0.8660254037844387,-0.693962131510806
76.6,0.6814763090077968,-0.8594194690069575,-0.29864996797789495,-0.467392430576729,-0.4673924305768748,-0.2856068801862085,-0.7315701053097419,2.0173442785777005,-0.7185165968195902,3.0,,9.0,21.0,87.1,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,0.7071067811865475,0.7071067811865476,-1.0005445734115828
77.5,0.38137664999518933,-0.8594194690069575,-0.5416194334514366,-1.0079909044968178,-1.0079909044969544,-0.6992444308007175,-0.7315701053097419,1.420349670860502,-0.7185165968195902,4.0,,9.0,21.0,87.3,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,0.8660254037844386,0.5000000000000001,-0.693962131510806
77.6,0.23132682048888561,-0.8594194690069575,-0.5416194334514366,-1.1431405229768783,-1.1431405229770129,-1.3492462960520888,-0.7315701053097419,0.3457593769695447,-0.7185165968195902,5.0,,9.0,21.0,87.3,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,0.9659258262890683,0.25881904510252074,-0.7016266925583292
76.8,0.8315261385141005,-0.3501338577435659,-0.5416194334514366,-0.7376916675368502,-0.7376916675368378,-0.7583355094599331,-0.7315701053097419,-0.9676287600082922,-0.7185165968195902,6.0,,9.0,21.0,87.3,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,-0.7782723030335233
76.0,0.9815759680204043,-0.8594194690069575,-0.4808770670830512,-0.6025420490567897,-0.6025420490567795,-1.46742845337052,-0.7315701053097419,-0.5497325346062535,-0.7185165968195902,7.0,,9.0,21.0,87.3,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,0.9659258262890683,-0.25881904510252063,-0.8855761576987887
77.4,0.6814763090077968,0.03183035070396876,-0.5416194334514366,0.20835566182342036,0.2083556618232632,-1.0537909027560108,-0.6079244537080953,-0.19153576997593424,-0.5969058893183902,8.0,,9.0,21.0,87.3,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.49999999999999983,-0.8242596693186355
81.3,-0.8190219860552405,0.28647315633566456,-0.5416194334514366,1.4247022281436585,1.4247022281436346,-0.04924256554934624,0.010303804300137255,-1.0273282207800123,0.03546978968785004,9.0,,9.0,21.0,87.3,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,0.7071067811865476,-0.7071067811865475,-0.5330063495128998
82.0,-1.2691714745741516,-0.0954910521118701,-0.3593923343462804,1.5598518466237192,1.5598518466235394,-0.9356087454375798,0.6285320623083698,-1.206426603095172,0.7373373015519189,10.0,,9.0,21.0,87.1,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,0.49999999999999994,-0.8660254037844387,-0.19576566342205193
82.4,-1.1191216450678478,0.6684373647831993,-0.11642286887273877,1.5598518466237192,1.5598518466235394,-1.1128819814152264,1.1231146687149558,-1.5049239069537712,1.1925088067706962,11.0,,9.0,21.0,87.1,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,0.258819045102521,-0.9659258262890682,0.23344975523903116
83.6,-1.4192213040804553,1.3050443788624297,-0.4808770670830512,1.6950014651037797,1.6950014651035976,-0.4037890375046397,1.7413429267231884,-1.206426603095172,1.7658164278477821,12.0,,9.0,21.0,86.7,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,1.2246467991473532e-16,-1.0,0.8159563948504971
84.4,-1.7193209630930628,1.4323657816782867,-0.4808770670830512,1.2895526096635979,1.2895526096635763,-0.6401533521415019,1.864988578324835,-0.9079292992365726,1.8422574439913937,13.0,,9.0,21.0,86.7,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,-0.2588190451025208,-0.9659258262890683,1.3524756681768455
85.0,-1.8693707925993666,1.6870085873099645,-0.4808770670830512,-0.061943575136700846,-0.061943575136699805,-0.22651580152699294,2.112279881528128,-1.206426603095172,2.005563251207291,14.0,,9.0,21.0,86.7,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,-0.4999999999999998,-0.8660254037844388,1.636064426935058
84.7,-1.7193209630930628,1.6870085873099645,0.9465685425740058,-1.0079909044968178,-1.0079909044969544,0.36439498506516277,1.864988578324835,0.46515829851298396,1.845732035634285,15.0,,9.0,21.0,86.9,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,-0.7071067811865471,-0.7071067811865479,1.8430075752180817
81.6,-0.6689721565489367,0.9230801704148951,3.7103462123355415,-0.7376916675368502,-0.7376916675368378,2.6689470527745702,0.8758233655116627,1.3009507493170622,0.9666603499827533,16.0,,9.0,21.0,87.3,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,-0.8660254037844384,-0.5000000000000004,1.7816910868379285
80.1,-0.06877283852372183,1.050401573230734,1.4325074735210888,-1.1431405229768783,-1.1431405229770129,1.9007630302047678,0.010303804300137255,-0.3109346915193741,-0.09309010109913285,17.0,,9.0,21.0,87.4,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,-0.9659258262890683,-0.25881904510252063,1.5134314501747517
78.5,0.23132682048888561,-0.0954910521118701,0.5972999359557896,-0.467392430576729,-0.4673924305768748,1.2507611649533963,-0.36063315050480227,-0.6094319953779733,-0.4509730403169501,18.0,,9.0,21.0,87.4,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,-1.0,-1.8369701987210297e-16,1.0612223483711098
76.6,0.6814763090077968,-0.9867408718227964,1.6147345726262448,0.47865489878354156,0.4786548987833799,1.3689433222718275,-0.6079244537080953,0.16666099465438466,-0.6316518057473045,19.0,,9.0,21.0,87.4,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,-0.9659258262890684,0.2588190451025203,0.4173992203794907
75.9,0.6814763090077968,-2.0053120943495615,0.2328457377454772,-0.6025420490567897,-0.6025420490567795,0.600759299702025,-0.6079244537080953,0.10696153388266502,-0.7150420051766988,20.0,,9.0,21.0,87.4,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,-0.8660254037844386,0.5000000000000001,-0.25708215180221056
75.6,1.1316257975267079,-1.1140622746386353,-0.42013470071466574,-1.0079909044968178,-1.0079909044969544,0.12803067042830046,-0.7315701053097419,0.10696153388266502,-0.7185165968195902,21.0,,9.0,21.0,87.4,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,-0.7071067811865477,0.7071067811865474,-0.7169558146533648
75.9,0.9815759680204043,-1.2413836774544922,-0.5416194334514366,-1.0079909044968178,-1.0079909044969544,0.18712174908751605,-0.7315701053097419,0.5845572200564237,-0.7185165968195902,22.0,,9.0,21.0,87.4,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,-0.5000000000000004,0.8660254037844384,-1.038867378649177
76.2,0.9815759680204043,-0.8594194690069575,-0.5416194334514366,-0.8728412860167571,-0.8728412860168961,0.36439498506516277,-0.7315701053097419,1.659147513947381,-0.7185165968195902,23.0,,9.0,21.0,87.6,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,-0.25881904510252157,0.9659258262890681,-1.2151522827421188
