temperature_2m,relativehumidity_2m,dewpoint_2m,precipitation,pressure_msl,surface_pressure,cloudcover,et0_fao_evapotranspiration,windspeed_10m,shortwave_radiation,time_local,year,month,day,temp(f),forecast_temp(f),forecast_relativehumidity_2m,forecast_dewpoint_2m,forecast_precipitation,forecast_windspeed_10m,forecast_shortwave_radiation,month_sin,month_cos,day_sin,day_cos,hour_sin,hour_cos,temp_avg,surface_pressure_5avg
75.8,1.0030583572412903,-1.0756774291600935,0.490543378301047,-0.6052357759488338,-0.6052357759487448,-1.2894125878774305,-0.7970641387250966,0.8739511798611893,-0.7675366564175976,0.0,0.0,0.0,24.0,85.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.0,1.0,-1.098573366160951,0.0
75.3,1.0030583572412903,-1.5697684970996628,1.8178960489979978,-0.9062856955918852,-0.9062856955917088,-0.5475587701945254,-0.7970641387250966,1.1070048278241726,-0.7675366564175976,1.0,0.0,0.0,24.0,85.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.25881904510252074,0.9659258262890683,-1.31784948715116,0.0
75.4,1.1554216520121194,-1.1992001961449945,-0.20198844988866652,-1.0568106554133254,-1.0568106554132337,0.19429504748837978,-0.7970641387250966,0.5826341199074597,-0.7675366564175976,2.0,0.0,0.0,24.0,85.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.49999999999999994,0.8660254037844387,-1.2739942629531142,0.0
76.7,0.39360517815797424,-1.4462457301147615,-0.6636763353484755,-1.4331230549670542,-1.4331230549669602,-0.9714752374418997,-0.7970641387250966,0.40784388393522203,-0.7675366564175976,3.0,0.0,0.0,24.0,85.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.7071067811865475,0.7071067811865476,-0.7038763483785724,0.0
76.0,0.8506950624704613,-0.9521546621752098,-0.6636763353484755,-1.3578605750562913,-1.3578605750561978,-0.9714752374418997,-0.7970641387250966,-0.23305364796298336,-0.7675366564175976,4.0,0.0,0.0,24.0,85.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.8660254037844386,0.5000000000000001,-1.010862917764866,-1.3196306743152637
75.3,1.1554216520121194,-1.1992001961449945,-0.89452027807838,-1.508385534877817,-1.5083855348777226,-0.9714752374418997,-0.7970641387250966,-0.8156877678704425,-0.7675366564175976,5.0,0.0,0.0,24.0,85.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.9659258262890683,0.25881904510252074,-1.31784948715116,-1.5549288629003488
75.3,1.1554216520121194,-1.322722963129878,-0.6636763353484755,-1.4331230549670542,-1.4331230549669602,-0.44157965338268174,-0.7970641387250966,-1.980956007685361,-0.7675366564175976,6.0,0.0,0.0,24.0,84.9,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,-1.31784948715116,-1.6921861395750282
75.3,1.1554216520121194,-1.322722963129878,-0.20198844988866652,-0.304185856305868,-0.3041858563057806,1.2010966572008939,-0.7970641387250966,-1.165268239814918,-0.7675366564175976,7.0,0.0,0.0,24.0,84.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.9659258262890683,-0.25881904510252063,-1.31784948715116,-1.496104315753994
76.2,1.0030583572412903,-0.334540827250757,0.2596994355711425,0.1473890231586236,0.1473890231587083,1.9429504748837991,-0.6574324647878534,-0.8156877678704425,-0.6397214688896882,8.0,0.0,0.0,24.0,84.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.8660254037844387,-0.49999999999999983,-0.9231524693687813,-1.0843324857300674
78.0,0.39360517815797424,0.036027473703911204,0.2596994355711425,0.5237014227123523,0.5237014227124348,1.9429504748837991,-0.0989057690388806,-1.4565852997686475,-0.07036290626536426,9.0,0.0,0.0,24.0,84.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.7071067811865476,-0.7071067811865475,-0.13375843380403044,-0.5941279261775932
79.1,-0.06348470615451281,-0.08749529328097234,0.2596994355711425,1.125801261998284,1.125801261998363,1.9429504748837991,0.4596209267100921,-0.8739511798611882,0.4718833438530395,10.0,0.0,0.0,24.0,84.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.49999999999999994,-0.8660254037844387,0.3486490323744267,0.09215845719602651
80.2,-0.36821129569617084,0.6536413086283641,0.028855492841237985,1.5021136615520128,1.5021136615520896,0.141305489082458,1.0181476224590649,-0.9322145918519342,1.1109592814925868,11.0,0.0,0.0,24.0,84.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,0.258819045102521,-0.9659258262890682,0.83105649855289,0.8568775700978593
81.3,-0.8253011800086579,0.6536413086283641,-0.6636763353484755,1.0505387820875212,1.0505387820876861,-0.6005483286004472,1.2974109703335515,-1.806165771713123,1.2310280940188048,12.0,0.0,0.0,24.0,84.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,1.2246467991473532e-16,-1.0,1.313463964731347,1.209824852975654
82.7,-1.282391064321145,0.7771640756132652,-0.6636763353484755,0.5237014227123523,0.5237014227124348,0.8831593067653631,1.9955693400197674,-0.40784388393522103,2.001792406687107,13.0,0.0,0.0,24.0,84.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,-0.2588190451025208,-0.9659258262890683,1.9274371035039346,1.3078657648861711
83.3,-1.587117653862803,0.7771640756132652,-0.6636763353484755,0.2979139829800638,0.29791398298023314,-0.38859009497675995,1.9955693400197674,0.6408975318982054,2.0289047191930276,14.0,0.0,0.0,24.0,84.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,-0.4999999999999998,-0.8660254037844388,-0.25362937994534157,1.2490412177398162
84.3,-1.587117653862803,1.7653462114923864,-0.6636763353484755,-0.0031359366629021054,-0.0031359366628165236,-0.33560053657083816,1.7163059921452808,0.5243707079167135,1.7771475316380543,15.0,0.0,0.0,24.0,84.9,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,-0.7071067811865471,-0.7071067811865479,-0.005116442823106453,0.9549184820083764
84.3,-1.587117653862803,1.6418234445075026,-0.6636763353484755,-0.2289233763951051,-0.2289233763950182,0.3532637227061452,1.2974109703335515,0.6991609438889517,1.2232817190171135,16.0,0.0,0.0,24.0,85.3,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,-0.8660254037844384,-0.5000000000000004,0.25801490236514796,0.5039302872200646
83.2,-1.587117653862803,0.28307300767369586,-0.432832392618571,-0.6052357759488338,-0.6052357759487448,0.406253281112067,0.7388842745845785,1.2235316518056645,0.6616695313944808,17.0,0.0,0.0,24.0,85.3,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,-0.9659258262890683,-0.25881904510252063,0.4860620681949635,0.07255027481383393
82.6,-1.282391064321145,0.7771640756132652,-0.6636763353484755,-0.5299732960381566,-0.5299732960379823,0.6182115147357542,0.04072590489836259,0.5243707079167135,-0.012265093752678143,18.0,0.0,0.0,24.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,-1.0,-1.8369701987210297e-16,0.6585592833739206,-0.20196427853541332
80.3,-0.21584800092534184,1.0242096095830497,1.8178960489979978,-0.3794483362166308,-0.37944833621654306,-1.5543603799070396,-0.5178007908506101,-0.05826341199074571,-0.5777504688761563,19.0,0.0,0.0,24.0,86.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,-0.9659258262890684,0.2588190451025203,0.7842775927416381,-0.37843791997447784
79.1,0.0888785886163162,0.6536413086283641,1.3562081635381888,0.7494888624445554,0.7494888624446365,-1.2894125878774305,-0.6574324647878534,0.4661072959259678,-0.763663468916752,20.0,0.0,0.0,24.0,86.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,-0.8660254037844386,0.5000000000000001,0.8953774940433489,-0.18235609615344367
78.0,0.39360517815797424,0.28307300767369586,2.9721157626475203,1.2010637419090469,1.2010637419091255,-0.12364230294715098,-0.7970641387250966,0.8739511798611893,-0.7675366564175976,21.0,0.0,0.0,24.0,86.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,-0.7071067811865477,0.7071067811865474,0.9743168975998271,0.19019936910654361
78.3,0.39360517815797424,0.406595774658597,-0.6636763353484755,1.5021136615520128,1.5021136615520896,-0.12364230294715098,-0.7970641387250966,0.932214591851935,-0.7675366564175976,22.0,0.0,0.0,24.0,86.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,-0.5000000000000004,0.8660254037844384,1.062027345995912,0.7392284758051496
78.7,0.24124188338714522,0.7771640756132652,-0.89452027807838,1.7279011012842158,1.7279011012843768,-0.01766318613530739,-0.6574324647878534,1.6896389477316318,-0.7675366564175976,23.0,0.0,0.0,24.0,86.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,-0.25881904510252157,0.9659258262890681,1.1351193863259836,1.3274739472681407
